"ID","latitude","longitude","cluster"
1,41.88564889,-87.65027359,2
2,41.88564889,-87.65027359,2
3,41.88564889,-87.65027359,2
4,41.88564889,-87.65027359,2
5,41.88564889,-87.65027359,2
6,41.88564889,-87.65027359,2
7,41.88564889,-87.65027359,2
8,41.88564889,-87.65027359,2
9,41.88564889,-87.65027359,2
10,41.88564889,-87.65027359,2
11,41.88564889,-87.65027359,2
12,41.88564889,-87.65027359,2
13,42.26958466,-89.09528351,1
14,42.26958466,-89.09528351,1
15,42.26958466,-89.09528351,1
16,42.26958466,-89.09528351,1
17,42.26958466,-89.09528351,1
18,42.26958466,-89.09528351,1
19,42.26958466,-89.09528351,1
20,42.26958466,-89.09528351,1
21,42.26958466,-89.09528351,1
22,42.26958466,-89.09528351,1
23,42.26958466,-89.09528351,1
24,42.26958466,-89.09528351,1
25,41.8771286,-87.62899017,1
26,41.8771286,-87.62899017,1
27,41.8771286,-87.62899017,1
28,41.8771286,-87.62899017,1
29,41.8771286,-87.62899017,1
30,41.8771286,-87.62899017,1
31,41.8771286,-87.62899017,1
32,41.8771286,-87.62899017,1
33,41.8771286,-87.62899017,1
34,41.8771286,-87.62899017,1
35,41.8771286,-87.62899017,1
36,41.8771286,-87.62899017,1
37,41.8771286,-87.62899017,1
38,41.8771286,-87.62899017,1
39,41.8771286,-87.62899017,1
40,41.8771286,-87.62899017,1
41,41.8771286,-87.62899017,1
42,41.8771286,-87.62899017,1
43,41.8771286,-87.62899017,1
44,41.8771286,-87.62899017,1
45,41.8771286,-87.62899017,1
46,41.8771286,-87.62899017,1
47,41.8771962,-87.6289936,1
48,41.8771962,-87.6289936,1
49,41.8771962,-87.6289936,1
50,41.8771962,-87.6289936,1
51,41.8771962,-87.6289936,1
52,41.8771962,-87.6289936,1
53,41.8771962,-87.6289936,1
54,41.8771962,-87.6289936,1
55,41.8771962,-87.6289936,1
56,41.8771962,-87.6289936,1
57,41.8771962,-87.6289936,1
58,41.8771962,-87.6289936,1
59,41.8771962,-87.6289936,2
60,41.8771962,-87.6289936,2
61,41.8771962,-87.6289936,2
62,41.8771962,-87.6289936,2
63,41.8771962,-87.6289936,6
64,41.8771962,-87.6289936,6
65,41.8771962,-87.6289936,6
66,41.8771962,-87.6289936,5
